Year,Month,Day,DayName,midday,evening 
2022,4,8,Friday,7647,6030
2022,4,9,Saturday,8967,3662
2022,4,10,Sunday,8550,4614
2022,4,11,Monday,7420,2867
2022,4,12,Tuesday,0766,7790
2022,4,13,Wednesday,8477,4429
2022,4,14,Thursday,8260,7356
2022,4,15,Friday,1326,5831
2022,4,16,Saturday,6205,4107
2022,4,17,Sunday,8091,7068
2022,4,18,Monday,5997,0472
2022,4,19,Tuesday,7512,5888
2022,4,20,Wednesday,5706,0286
2022,4,21,Thursday,7628,1501
2022,4,22,Friday,6936,7670
2022,4,23,Saturday,8807,1809
2022,4,24,Sunday,5871,9564
2022,4,25,Monday,2207,1045
2022,4,26,Tuesday,6163,6662
2022,4,27,Wednesday,1516,0698
2022,4,28,Thursday,3442,0197
2022,4,29,Friday,8776,7869
2022,4,30,Saturday,2801,4909
2022,5,1,Sunday,1337,1550
2022,5,2,Monday,4213,4395
2022,5,3,Tuesday,9963,7910
2022,5,4,Wednesday,1078,2717
2022,5,5,Thursday,9641,5038
2022,5,6,Friday,3678,7834
2022,5,7,Saturday,0513,5274
2022,5,8,Sunday,6086,5138
2022,5,9,Monday,9276,0731
2022,5,10,Tuesday,0317,4475
2022,5,11,Wednesday,8805,6354
2022,5,12,Thursday,3431,6812
2022,5,13,Friday,5264,0992
2022,5,14,Saturday,2569,2001
2022,5,15,Sunday,8137,3310
2022,5,16,Monday,0277,3131
2022,5,17,Tuesday,4155,5752
2022,5,18,Wednesday,3433,9801
2022,5,19,Thursday,0530,0838
2022,5,20,Friday,4603,4277
2022,5,21,Saturday,3197,7908
2022,5,22,Sunday,2229,4313
2022,5,23,Monday,9405,5830
2022,5,24,Tuesday,4601,9162
2022,5,25,Wednesday,1951,2738
2022,5,26,Thursday,0935,0874
2022,5,27,Friday,5587,3337
2022,5,28,Saturday,1321,3205
2022,5,29,Sunday,1950,0468
2022,5,30,Monday,9550,2501
2022,5,31,Tuesday,2856,5730
2022,6,1,Wednesday,5013,2622
2022,6,2,Thursday,2605,6828
2022,6,3,Friday,3030,0321
